country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,,19.5,,,20.5,76.8,9.8,50.3/59.4,,,,,,,0.4,79.5,0.8,2,85.0/78.8,18.1/25.7,7784.4/12.1,,,,,5.5,105.0/105.7,111.2/110.1,71.0/57.9
French Guiana,SouthAmerica,83534,283,3.4,100,-99,-99,-99,,-99,,,14.9,58.3,21.3,48.4/58.8,,,,,,,2.8,84.4,2.8,3.5,82.6/76.1,33.2/8.4,106.1/39.5,,,,,-99,-99,-99,-99
French Polynesia,Polynesia,4000,283,77.3,103.7,5135,1.6,18161,,11.9,,,16.9,74.2,17,46.4/63.0,,,,,,,0.7,55.9,0.9,2.1,78.6/74.0,23.3/11.9,30.1/10.6,,,,,-99,-99,-99,-99
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.9,7960.7,,54.5,,,19.1,64.8,18.1,40.7/58.3,,,,,,,3.3,87.2,2.7,4,65.8/63.1,35.9/6.4,268.4/15.6,,,,,2.7,139.9/144.0,-99,.../...
Gambia,WesternAfrica,11295,2101,207.6,98,942,4.7,473.2,,14.9,,,14.4,55.2,29.7,72.2/82.6,,,,,,,3.1,59.6,4.3,5.6,61.6/59.1,45.3/3.8,192.5/9.7,,,,,2.8,96.8/90.1,.../...,2.5/3.7
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,,24.1,,,11.2,44.1,11.4,57.9/79.0,,,,,,,-1.4,53.6,-0.1,2,77.0/68.5,19.2/20.8,168.8/4.2,,,,,2,118.2/115.5,103.8/103.6,47.8/39.2
Germany,WesternEurope,357376,82114,235.6,97,3363600,1.7,41686.2,,30.5,,,27.5,71.2,4.2,54.5/66.1,,,,,,,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,,,,,5,104.7/105.2,99.6/105.6,66.8/69.7
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,,26.9,,,14.2,43.8,5.9,75.7/78.8,,,,,,,2.4,54,3.4,4.2,62.6/60.7,38.5/5.3,399.5/1.5,,,,,6.2,108.7/107.3,61.1/63.1,13.2/19.1
Gibraltar,SouthernEurope,6,35,3457.1,101.8,-99,-99,-99,,-99,,,-99,-99,-99,.../...,,,,,,,0.6,100,0.1,-99,.../...,18.1/22.4,11.1/34.3,,,,,-99,-99,-99,-99
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788,,15.7,,,15,72.1,23,44.1/60.1,,,,,,,-0.4,78,0.5,1.3,83.3/78.0,14.2/26.5,1242.5/11.3,,,,,...,97.1/98.1,103.4/109.5,113.7/114.0
Greenland,NorthernAmerica,2166086,56,0.1,112.1,2078,0.3,36976.7,,15.9,,,12.6,82.5,9.7,-99,,,,,,,-0.1,86.4,0.7,2,73.4/68.7,21.0/13.2,6.0/10.7,,,,,-99,-99,-99,-99
Grenada,Caribbean,345,108,317.1,100.9,954,6.2,8933.8,,13.9,,,-99,-99,...,-99,,,,,,,0.4,35.6,0.3,2.2,75.6/70.8,26.3/10.5,7.1/6.6,,,,,...,102.9/106.8,99.0/99.4,97.9/84.5
Guadeloupe,Caribbean,1705,450,266,86.4,-99,-99,-99,,-99,,,13.5,65.5,26.1,49.6/56.5,,,,,,,-~0.0,98.4,0.5,2,84.0/76.8,18.6/23.6,98.5/21.0,,,,,-99,-99,-99,-99
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,,-99,,,14,85.7,10.7,55.2/68.7,,,,,,,0.3,94.5,1.4,2.4,81.5/76.4,24.7/14.0,76.1/44.8,,,,,-99,-99,-99,-99
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,3903.5,,27.2,,,18.5,49.4,2.4,41.7/84.0,,,,,,,2.1,51.6,3.4,3.2,75.6/69.2,35.1/6.9,76.4/0.5,,,,,3,99.8/103.8,63.3/67.9,23.5/20.2
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,4.8,530,,14.5,,,5.8,34.1,6.5,67.4/78.5,,,,,,,2.6,49.3,4.1,4.9,57.7/54.3,41.5/4.9,22.3/1.2,,,,,2.2,.../...,.../...,-99
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,0.1,703.9,,32.8,,,7.4,22.9,6.8,79.4/85.1,,,,,,,2.3,37.2,3.8,5.1,58.4/57.4,42.3/5.2,228.4/1.8,,,,,3.2,83.8/98.6,30.7/46.8,6.7/14.9
Guyana,SouthAmerica,214969,778,4,101.9,3282,3.1,4278.8,,31.7,,,25.4,56.2,11.3,41.9/77.0,,,,,,,0.6,28.6,0.8,2.6,68.6/64.0,29.0/8.6,15.4/2.0,,,,,3.2,83.9/86.9,89.0/89.7,16.8/8.2
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,,38.2,,,12.6,40.6,12.9,62.0/71.7,,,,,,,1.4,58.6,3.8,3.1,64.4/60.2,33.0/7.3,39.5/0.4,,,,,-99,-99,-99,-99
Holy See,SouthernEurope,~0,1,1800,219.2,-99,-99,-99,,-99,,,-99,-99,-99,-99,,,,,,,~0.0,100,~0.0,-99,-99,-99,0.8/100.0,,,,,-99,-99,-99,-99
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,,25.1,,,21.6,49,5.6,47.6/84.5,,,,,,,1.8,54.7,3.1,2.6,75.4/70.4,31.6/7.0,28.1/0.3,,,,,5.9,110.1/111.3,77.0/64.8,25.4/18.8
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,,31.9,,,29.8,65.9,4.5,46.6/62.4,,,,,,,-0.3,71.2,0.5,1.3,78.8/71.7,14.3/26.0,449.6/4.6,,,,,4.7,101.3/101.9,105.3/105.1,56.7/45.3
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936,,24,,,17.7,78.2,3.6,70.3/77.2,,,,,,,0.6,94.1,1.3,2,83.8/80.6,20.1/20.1,37.5/11.4,,,,,7.8,98.6/99.7,121.0/116.3,103.1/60.2
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,,29.7,,,24.5,31.2,3.4,27.0/79.1,,,,,,,1.2,32.7,2.4,2.4,69.1/66.2,27.8/9.4,5241.0/0.4,,,,,3.8,115.1/102.8,74.5/73.5,26.7/27.0
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,,41.3,,,22.4,46.2,5.8,51.0/83.7,,,,,,,1.2,53.7,2.7,2.4,70.7/66.6,27.4/8.6,328.8/0.1,,,,,3.6,104.4/107.2,86.0/85.7,25.7/22.9
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,,39.1,,,32.5,50.9,11.3,16.3/73.2,,,,,,,1.2,73.4,2.1,1.7,76.2/74.0,23.7/8.8,2726.4/3.4,,,,,2.9,111.7/106.3,88.9/89.4,67.7/75.9
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509,,58,,,21,58.6,16.1,15.3/69.9,,,,,,,3.2,69.5,3,4.6,71.4/67.0,40.4/5.0,353.9/1.0,,,,,-99,.../...,.../...,.../...
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,,41.7,,,17.7,77.4,7.6,51.9/67.1,,,,,,,0.3,63.2,1.6,2,83.0/78.7,21.6/19.1,746.3/15.9,,,,,5.3,102.0/100.9,129.4/125.6,87.6/80.1
Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99,-99,,-99,,,...,...,2.6,57.5/69.3,,,,,,,0.8,52.2,0.8,-99,-99,16.0/26.9,45.2/51.5,,,,,-99,-99,-99,-99
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,,21.2,,,17.9,81,5.9,58.5/69.0,,,,,,,1.6,92.1,1.4,3,83.7/80.0,27.9/16.1,2011.7/24.9,,,,,5.8,105.1/104.4,103.0/102.0,75.5/54.6
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,,23.5,,,27.1,69.4,11.4,39.2/57.8,,,,,,,-0.1,69,0.4,1.4,84.7/79.9,13.5/29.4,5788.9/9.7,,,,,4.1,100.6/101.4,101.7/104.1,72.2/53.2
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,,22.3,,,15.3,66.8,13.1,58.1/72.7,,,,,,,0.4,54.8,0.9,2.1,77.9/73.1,22.7/13.6,23.2/0.8,,,,,5.5,.../...,85.1/79.2,34.6/20.1
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,,26.4,,,26.5,69.8,3,48.9/69.7,,,,,,,-0.1,93.5,0.6,1.4,86.4/80.0,12.9/33.4,2043.9/1.6,,,,,3.6,101.2/101.3,101.9/101.6,60.9/65.7
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,,27.7,,,17.8,80.2,13.4,14.5/64.5,,,,,,,4.9,83.7,3.8,3.6,75.5/72.2,35.5/5.7,3112.0/41.0,,,,,-99,97.6/97.1,84.8/80.2,47.3/42.5
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,,32.5,,,20.4,61.6,5.6,66.3/77.5,,,,,,,1.6,53.2,0.9,2.7,73.9/64.3,27.9/11.1,3546.8/20.1,,,,,2.8,109.1/108.8,113.5/110.6,51.3/41.4
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,,19,,,8.6,29.5,10.8,62.4/72.4,,,,,,,2.7,25.6,4.3,4.1,67.8/63.0,40.5/4.3,1084.4/2.4,,,,,5.3,108.7/109.3,.../...,.../...
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,1442.9,,13.6,,,...,...,...,.../...,,,,,,,1.8,44.3,1.8,3.8,68.9/62.4,35.0/6.4,3.2/2.8,,,,,...,106.1/102.9,.../...,-99
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,29303.9,,48.7,,,27.3,70.1,2.2,47.7/83.6,,,,,,,5.4,98.3,3.6,2,75.5/73.5,21.1/4.9,2866.1/73.6,,,,,...,103.0/102.4,102.7/88.2,33.1/20.4
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,,25.9,,,21,49.8,7.7,49.7/77.5,,,,,,,1.6,35.7,1.6,3.1,74.3/66.4,31.8/7.6,204.4/3.4,,,,,5.5,106.8/107.9,92.8/91.4,53.3/40.8
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,,32.8,,,4,17.7,1.5,77.9/77.8,,,,,,,1.3,38.6,4.9,2.9,66.8/63.9,32.9/6.3,22.2/0.3,,,,,3.3,109.1/113.5,59.3/64.1,16.5/17.3
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,13704.1,,23.3,,,23,69.7,9.6,54.5/67.7,,,,,,,-1.2,67.4,-0.7,1.5,78.7/68.8,15.4/26.2,263.1/13.4,,,,,5.3,99.2/100.1,119.1/119.9,79.2/55.5
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,,19.6,,,22.4,69.4,7,23.8/70.6,,,,,,,6,87.8,3.2,1.7,80.9/77.3,23.1/12.0,1997.8/34.1,,,,,2.6,88.3/96.6,61.0/61.5,45.7/39.5
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,,31.3,,,20,40.3,27.5,59.7/74.6,,,,,,,1.3,27.3,3,3.3,54.7/50.1,35.4/6.7,6.6/0.3,,,,,...,104.0/107.0,62.0/45.7,11.7/8.0
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,,11.4,,,11.7,43,4.1,57.9/64.1,,,,,,,2.6,49.7,3.4,4.8,61.6/59.8,41.8/4.9,113.8/2.5,,,,,2.8,89.1/98.5,32.5/41.9,9.0/14.2
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,5488.2,,67.1,,,25.1,55.8,19.2,27.8/78.4,,,,,,,0.2,78.6,1.1,2.4,74.4/68.8,28.2/6.6,771.1/12.3,,,,,-99,.../...,.../...,.../...
Liechtenstein,WesternEurope,160,38,237,98.4,6361,1.4,169491.8,,40.1,,,-99,-99,2.6,53.5/70.6,,,,,,,0.8,14.3,0.5,1.5,-99,14.9/22.7,23.5/62.6,,,,,2.6,104.8/106.5,101.7/130.7,21.9/44.8
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,,29.8,,,24.5,66.8,9.2,54.1/66.1,,,,,,,-1.3,66.5,-0.5,1.6,79.3/68.5,14.8/25.3,136.0/4.7,,,,,4.6,103.7/103.2,106.1/110.3,82.0/55.8
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,100160.8,,12.1,,,10.2,88.5,5.6,52.0/65.5,,,,,,,2.2,90.2,1.7,1.5,83.4/78.8,16.4/19.6,249.3/44.0,,,,,4.1,97.3/96.9,103.5/101.1,20.7/18.2
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,401.8,,18.4,,,9.4,16.5,2.3,83.8/89.0,,,,,,,2.7,35.1,4.7,4.4,66.0/63.0,41.0/4.8,32.1/0.1,,,,,2.1,148.9/148.9,38.1/38.8,4.6/5.0
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,,16.6,,,4.8,25.4,6.8,81.3/81.0,,,,,,,2.9,16.3,3.8,4.9,63.1/58.2,44.0/4.3,215.2/1.2,,,,,5.6,147.0/144.0,41.0/45.8,0.6/1.0
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,,39.6,,,27.3,60.9,3.3,49.3/77.8,,,,,,,1.8,74.7,2.7,2.1,77.1/72.6,24.3/9.7,2514.2/8.3,,,,,5,101.9/101.7,80.7/74.6,31.8/20.8
Maldives,SouthernAsia,300,436,1454.4,131.8,3435,2.8,9446.5,,22,,,22.8,69.5,2.9,57.8/79.6,,,,,,,2.8,45.5,4.5,2.2,77.4/75.4,23.4/6.3,94.1/25.9,,,,,5.2,98.6/97.3,.../...,20.3/12.4
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,,19.6,,,14.7,28.6,8.1,50.5/82.3,,,,,,,2.9,39.9,5.1,6.4,56.9/55.6,47.7/4.0,363.1/2.1,,,,,3.7,72.1/79.3,36.8/45.6,4.1/9.6
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,,15,,,20.9,77.9,5.4,39.4/65.7,,,,,,,0.5,95.4,0.5,1.4,82.0/78.6,14.4/26.1,41.4/9.9,,,,,7.8,104.7/102.2,98.1/91.7,55.2/40.3
Marshall Islands,Micronesia,181,53,295.2,104.5,183,0.6,3452.6,,10.2,,,...,...,4.7,29.0/53.3,,,,,,,0.2,72.7,0.6,4.1,72.5/71.3,39.0/5.5,3.3/6.2,,,,,...,93.3/93.5,80.4/73.1,41.2/44.6
Martinique,Caribbean,1128,385,363.1,83.5,-99,-99,-99,,-99,,,11.8,69,22.8,52.6/53.8,,,,,,,-0.5,88.9,0.2,2,84.4/77.8,17.7/25.7,61.7/15.6,,,,,-99,-99,-99,-99
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,,41.7,,,9.5,50.2,12,29.3/65.5,,,,,,,2.9,59.9,3.5,4.9,64.1/61.2,39.9/5.0,138.2/3.4,,,,,2.9,105.0/100.0,29.5/31.7,3.6/7.1
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,9040.9,,22.7,,,25.2,67.5,7.6,46.9/74.3,,,,,,,0.2,39.7,-0.1,1.5,77.7/70.7,18.4/16.6,28.6/2.2,,,,,4.9,103.9/102.2,97.9/93.6,41.7/31.7
Mayotte,EasternAfrica,-99,253,674.8,96.7,-99,-99,-99,,-99,,,-99,-99,-99,-99,,,,,,,2.8,47,1.9,4.1,82.9/76.0,40.6/5.8,77.0/32.1,,,,,-99,-99,-99,-99
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,,36,,,25.2,61.3,4.1,45.5/79.5,,,,,,,1.4,79.2,1.6,2.3,78.9/74.0,26.7/10.1,1193.2/0.9,,,,,5.3,103.2/103.6,93.5/87.7,30.0/29.9
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3.7,3015.2,,6.5,,,-99,-99,-99,-99,,,,,,,0.2,22.4,0.3,3.3,69.8/67.7,33.1/8.0,2.8/2.6,,,,,12.5,95.7/95.4,.../...,-99
Monaco,WesternEurope,2,39,25969.8,94.7,6258,5.4,165870.6,,13.4,,,-99,-99,...,.../...,,,,,,,0.6,100,0.8,-99,-99,.../...,21.0/55.8,,,,,1,-99,-99,-99
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,,34.1,,,20.7,51,6.3,56.8/69.3,,,,,,,1.9,72,2.8,2.8,72.7/64.5,29.7/6.6,17.6/0.6,,,,,4.6,100.0/101.8,92.4/90.5,79.7/57.7
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,,17.5,,,17.3,75.2,17.4,41.8/55.9,,,,,,,0.1,64,0.3,1.7,78.8/74.0,18.1/21.3,82.5/13.2,,,,,-99,93.3/95.2,90.3/90.4,.../...
Montserrat,Caribbean,103,5,51.8,106,59,0.4,11553.4,,12.7,,,-99,-99,5.6,.../...,,,,,,,0.7,9,0.7,...,-99,19.7/19.6,1.4/26.4,,,,,...,.../...,.../...,-99
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,,28.9,,,20.7,46.8,10.4,25.6/74.5,,,,,,,1.4,60.2,2.3,2.6,76.0/73.7,27.4/10.7,88.5/0.3,,,,,...,111.6/117.7,63.5/74.4,27.5/28.7
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,,21,,,4.1,21,24.1,82.2/75.6,,,,,,,2.9,32.2,3.3,5.4,58.1/54.0,44.8/4.8,222.9/0.8,,,,,6.5,101.2/110.4,31.1/33.8,5.4/7.4
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,,34.5,,,14.6,61.7,0.8,74.7/80.8,,,,,,,0.9,34.1,2.5,2.3,68.3/63.7,26.8/9.4,73.3/0.1,,,,,-99,98.3/101.0,52.0/50.6,14.9/12.1
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,,30.6,,,14.6,56.3,24.9,56.4/64.3,,,,,,,2.2,46.7,4.2,3.6,64.3/59.1,36.7/5.5,93.9/3.8,,,,,...,109.5/113.3,.../...,.../...
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,,59.9,,,-99,-99,23,49.3/78.9,,,,,,,2.3,100,0.2,3.9,64.8/57.8,39.5/4.0,3.2/31.1,,,,,-99,100.4/109.5,83.4/81.9,-99
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,,14.9,,,10.9,16.5,3,79.7/86.7,,,,,,,1.2,18.6,3.2,2.3,70.4/67.4,30.9/8.8,518.3/1.8,,,,,3.7,141.2/130.7,72.2/67.1,15.1/14.8
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,,20,,,15.9,81.9,5.6,57.3/69.7,,,,,,,0.3,90.5,1,1.7,83.1/79.4,16.4/25.0,1979.5/11.7,,,,,5.5,104.4/105.0,136.3/134.7,82.5/74.7
New Caledonia,Melanesia,18575,276,15.1,101.5,8937,3.2,33965.7,,26,,,26.9,70.1,15.1,45.5/66.9,,,,,,,1.4,70.2,2.2,2.2,79.3/73.7,22.5/14.2,64.3/24.4,,,,,-99,-99,-99,-99
New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,,23,,,21.4,72.6,5.5,62.1/72.8,,,,,,,1.1,86.3,1,2,83.1/79.5,19.8/20.8,1039.7/23.0,,,,,6.4,99.1/99.6,119.9/113.4,96.7/71.6
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,,26.8,,,14.5,61.4,6.1,49.6/80.6,,,,,,,1.2,58.8,2,2.3,77.5/71.4,29.0/8.4,40.3/0.7,,,,,...,.../...,.../...,.../...
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,,19.1,,,14.4,23.3,2.7,40.4/89.2,,,,,,,3.8,18.7,5.1,7.4,59.5/57.6,50.2/4.2,189.3/1.0,,,,,6.7,66.8/77.9,17.2/24.2,0.9/2.6
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,,20.4,,,14.7,57.4,5.4,48.5/64.3,,,,,,,2.7,47.8,4.7,5.7,52.6/51.2,44.0/4.5,1199.1/0.7,,,,,-99,92.8/94.5,53.5/57.8,8.3/11.8
Niue,Polynesia,260,2,6.2,100,-99,-99,-99,,-99,,,...,...,...,.../...,,,,,,,-0.1,42.5,-0.9,2.6,76.3/70.1,22.8/20.1,0.6/34.6,,,,,-99,120.2/147.2,114.1/104.1,-99
Northern Mariana Islands,Micronesia,457,55,119.9,107.1,-99,-99,-99,,-99,,,...,...,...,.../...,,,,,,,0.1,89.2,0.4,1.6,77.9/74.9,23.5/10.0,21.6/39.3,,,,,-99,-99,-99,-99
