country,Region,Surface.area..km2.,Population.in.thousands..2017.,Population.density..per.km2..2017.,Sex.ratio..m.per.100.f..2017.,GDP..Gross.domestic.product..million.current.US..,GDP.growth.rate..annual....const..2005.prices.,GDP.per.capita..current.US..,Economy..Industry....of.GVA.,Employment..Industry....of.employed.,Employment..Services....of.employed.,Unemployment....of.labour.force.,Labour.force.participation..female.male.pop....,Population.growth.rate..average.annual...,Urban.population....of.total.population.,Urban.population.growth.rate..average.annual...,Fertility.rate..total..live.births.per.woman.,Life.expectancy.at.birth..females.males..years.,Population.age.distribution..0.14...60..years....,International.migrant.stock..000...of.total.pop..,Education..Government.expenditure....of.GDP.,Education..Primary.gross.enrol..ratio..f.m.per.100.pop..,Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..,Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..,totalSmokingRate
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,26,18.3,40.3,15.8,40.2/61.0,-0.1,57.4,2.2,1.7,79.9/75.6,17.4/19.0,57.6/2.0,3.5,111.7/115.5,92.5/98.8,68.1/48.7,29.4
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,10.8,-99,-99,-99,-99,-1.6,85.1,0.1,1.2,-99,14.4/19.0,42.1/59.7,3.3,-99,-99,-99,32.5
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,27.8,24.8,73.1,6.5,48.6/74.4,1,91.8,1,2.3,79.8/72.2,24.9/15.4,2086.3/4.8,5.3,109.8/110.2,110.3/103.4,102.9/63.5,23.95
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,28.3,15.7,49.3,16.6,55.3/74.2,0.3,62.7,-0.1,1.6,77.0/70.6,20.0/16.9,191.2/6.3,2.8,98.5/98.5,89.0/88.1,46.9/41.6,26.9
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,26.5,21.2,76.1,5.5,58.4/70.7,1.5,89.4,1.5,1.9,84.4/80.2,19.0/21.0,6763.7/28.2,5.2,102.1/102.3,133.6/141.3,106.3/75.4,14.9
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,28.3,25.6,69.7,6.2,54.6/65.8,0.6,66,0.4,1.4,83.5/78.4,14.1/25.1,1492.4/17.5,5.5,102.2/103.7,97.6/102.4,89.2/74.3,35.15
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,49.9,14.2,49.1,5.2,62.0/68.8,1.3,54.6,1.6,2.1,74.6/68.6,23.3/10.1,264.2/2.7,2.6,105.6/107.4,-99,27.5/23.6,23.45
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,40.7,33.4,65.6,1.3,38.5/84.9,2,88.8,1.7,2.1,77.5/75.6,19.7/4.6,704.1/51.1,2.7,101.8/100.6,101.9/102.4,59.4/30.9,28.2
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,28.1,19.1,40.3,4,43.2/81.1,1.2,34.3,3.6,2.2,72.9/69.8,28.4/7.3,1422.8/0.9,1.9,125.1/116.0,67.4/59.8,11.4/15.4,20.25
Barbados,Caribbean,431,286,664.5,91.9,4385,0.9,15429.4,12.1,19.3,77.9,11.3,61.8/70.0,0.3,31.5,0.1,1.8,77.7/72.9,19.1/21.0,34.5/12.1,6.6,94.2/93.1,110.7/107.9,90.6/40.3,7
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,38.9,32,58.4,0.5,54.0/67.8,~0.0,76.7,~0.0,1.6,77.7/66.5,16.7/21.3,1082.9/11.4,4.9,101.3/101.4,106.4/107.8,100.7/75.9,28.4
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,22.2,21.2,77.6,8.3,48.1/58.9,0.6,97.9,0.5,1.8,83.0/78.0,17.1/24.6,1387.9/12.3,6.6,104.2/104.2,177.7/156.4,85.4/65.0,23.25
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,24.9,10.2,46.6,1,70.0/73.4,2.8,44,3.7,5.2,61.4/58.5,42.7/5.0,245.4/2.3,4.4,123.7/134.2,46.8/66.7,8.4/22.4,9.35
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,26.5,30.4,51.7,25.4,34.3/57.5,-1,39.8,0.1,1.3,78.8/73.7,14.1/23.4,34.8/0.9,-99,-99,-99,-99,38.6
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,22.7,21.5,63.2,12.4,56.0/78.2,0.9,85.7,1.2,1.8,78.4/71.0,21.7/12.6,713.6/0.3,6,113.8/116.8,102.2/97.2,59.3/42.4,15.3
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,27.6,29.4,64.1,8.1,48.5/60.1,-0.6,73.9,-0.3,1.5,77.8/70.8,14.2/27.7,102.1/1.4,4.1,96.7/97.7,97.4/100.5,82.9/65.4,35.3
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,21.8,4.9,15.1,2.9,76.5/90.5,3,29.9,5.9,5.6,59.3/58.0,45.2/3.9,704.7/3.9,4.1,86.1/89.9,32.2/35.1,3.8/7.3,20.25
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,29.4,19.6,38,0.3,75.6/87.0,1.6,20.7,2.6,2.7,69.6/65.5,31.3/7.1,74.0/0.5,1.9,116.2/117.1,.../...,11.8/14.3,23.45
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,28.3,8.7,29.5,4.6,71.1/81.2,2.7,54.4,3.6,5,57.7/55.1,42.7/4.8,382.0/1.6,3,110.7/123.5,53.5/62.6,15.2/19.7,22.35
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,28.6,19.5,78.4,7.1,60.7/69.9,1,81.8,1.2,1.6,83.8/79.7,16.0/23.5,7835.5/21.8,5.3,101.1/100.1,110.0/109.8,.../...,14.95
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,32.8,22.9,67.5,6.8,50.7/74.7,0.9,89.5,1.1,1.8,81.3/76.2,20.3/16.0,469.4/2.6,4.9,100.0/103.3,101.3/100.0,94.4/83.0,38
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,41.1,23.9,49.1,4.6,63.0/77.7,0.5,55.6,3,1.6,77.2/74.2,17.7/16.2,978.0/0.1,-99,104.3/104.0,95.6/93.2,47.3/39.9,24.7
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,34,16.6,69.9,10.5,58.0/79.8,1,76.4,1.7,1.9,77.4/70.2,23.5/11.6,133.1/0.3,4.5,111.6/115.4,101.5/94.8,59.9/51.5,11.1
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,1368.9,4,5.2,32.8,20,35.7/79.5,2.4,28.3,2.7,4.6,64.5/61.2,39.8/4.9,12.6/1.6,4.3,99.5/106.8,62.4/58.4,8.0/9.8,14.55
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,21.5,19.1,69.3,8.6,46.9/76.5,1.1,76.8,2.7,1.9,81.7/76.7,21.6/13.6,421.7/8.8,7.2,109.5/110.1,125.6/120.7,60.9/46.6,13.4
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,26.6,26.8,64,11.7,46.3/58.4,-0.4,59,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,4.6,98.1/97.8,100.6/95.9,79.8/58.8,36.45
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,7656.6,20.5,11.7,75.3,3,42.1/68.3,0.2,77.1,0.1,1.7,81.3/77.1,16.0/20.1,13.3/0.1,...,94.9/100.1,102.7/98.2,43.0/30.1,35.25
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,53149.3,22.9,19.2,78.4,6,58.1/66.0,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,8.6,100.7/102.3,133.4/128.3,96.3/69.7,17
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6373.6,28,16.9,70,14.4,52.3/78.6,1.2,79,2.6,2.5,76.4/70.2,29.3/10.2,415.6/3.9,...,98.7/108.1,81.7/74.1,65.0/35.4,14.1
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,34.1,19.2,55.1,5.8,49.1/79.9,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,5,107.9/107.4,109.2/105.3,45.3/34.6,8.65
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,36.3,25.3,49.3,11.5,23.1/76.2,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,...,103.8/104.1,85.9/86.3,35.6/36.9,25.1
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,17112,27.4,29,67.3,7.2,55.4/69.4,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,5.5,98.5/98.3,114.7/115.6,84.8/55.4,33.05
Ethiopia,EasternAfrica,1104300,104957,105,99.7,59917,9.6,602.8,16,8.4,21.1,5.7,77.1/89.1,2.6,19.5,4.9,4.6,65.5/61.9,40.6/5.3,1072.9/1.1,4.5,97.2/106.9,34.4/35.9,5.3/10.9,4.7
Fiji,Melanesia,18272,906,49.6,103.1,4391,3.6,4921.9,18.1,2.9,75.8,7.7,37.0/71.2,0.7,53.7,1.5,2.6,72.9/66.9,28.5/9.9,13.8/1.5,3.9,105.1/106.0,93.4/84.3,.../...,25.55
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,42148.1,26.8,22,73.8,8.9,54.5/61.7,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,7.2,101.4/101.7,156.3/142.8,95.6/79.3,20.85
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,36304.2,19.5,20.5,76.8,9.8,50.3/59.4,0.4,79.5,0.8,2,85.0/78.8,18.1/25.7,7784.4/12.1,5.5,105.0/105.7,111.2/110.1,71.0/57.9,27.7
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,24.1,11.2,44.1,11.4,57.9/79.0,-1.4,53.6,-0.1,2,77.0/68.5,19.2/20.8,168.8/4.2,2,118.2/115.5,103.8/103.6,47.8/39.2,31.7
Germany,WesternEurope,357376,82114,235.6,97,3363600,1.7,41686.2,30.5,27.5,71.2,4.2,54.5/66.1,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,5,104.7/105.2,99.6/105.6,66.8/69.7,30.35
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,26.9,14.2,43.8,5.9,75.7/78.8,2.4,54,3.4,4.2,62.6/60.7,38.5/5.3,399.5/1.5,6.2,108.7/107.3,61.1/63.1,13.2/19.1,6.75
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,17788,15.7,15,72.1,23,44.1/60.1,-0.4,78,0.5,1.3,83.3/78.0,14.2/26.5,1242.5/11.3,...,97.1/98.1,103.4/109.5,113.7/114.0,42.65
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,38.2,12.6,40.6,12.9,62.0/71.7,1.4,58.6,3.8,3.1,64.4/60.2,33.0/7.3,39.5/0.4,-99,-99,-99,-99,12.3
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,25.1,21.6,49,5.6,47.6/84.5,1.8,54.7,3.1,2.6,75.4/70.4,31.6/7.0,28.1/0.3,5.9,110.1/111.3,77.0/64.8,25.4/18.8,17.7
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,31.9,29.8,65.9,4.5,46.6/62.4,-0.3,71.2,0.5,1.3,78.8/71.7,14.3/26.0,449.6/4.6,4.7,101.3/101.9,105.3/105.1,56.7/45.3,28.4
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936,24,17.7,78.2,3.6,70.3/77.2,0.6,94.1,1.3,2,83.8/80.6,20.1/20.1,37.5/11.4,7.8,98.6/99.7,121.0/116.3,103.1/60.2,16.05
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,29.7,24.5,31.2,3.4,27.0/79.1,1.2,32.7,2.4,2.4,69.1/66.2,27.8/9.4,5241.0/0.4,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.15
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,41.3,22.4,46.2,5.8,51.0/83.7,1.2,53.7,2.7,2.4,70.7/66.6,27.4/8.6,328.8/0.1,3.6,104.4/107.2,86.0/85.7,25.7/22.9,39.9
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,41.7,17.7,77.4,7.6,51.9/67.1,0.3,63.2,1.6,2,83.0/78.7,21.6/19.1,746.3/15.9,5.3,102.0/100.9,129.4/125.6,87.6/80.1,22.15
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,21.2,17.9,81,5.9,58.5/69.0,1.6,92.1,1.4,3,83.7/80.0,27.9/16.1,2011.7/24.9,5.8,105.1/104.4,103.0/102.0,75.5/54.6,30.25
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,23.5,27.1,69.4,11.4,39.2/57.8,-0.1,69,0.4,1.4,84.7/79.9,13.5/29.4,5788.9/9.7,4.1,100.6/101.4,101.7/104.1,72.2/53.2,24
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,22.3,15.3,66.8,13.1,58.1/72.7,0.4,54.8,0.9,2.1,77.9/73.1,22.7/13.6,23.2/0.8,5.5,.../...,85.1/79.2,34.6/20.1,17.9
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,26.4,26.5,69.8,3,48.9/69.7,-0.1,93.5,0.6,1.4,86.4/80.0,12.9/33.4,2043.9/1.6,3.6,101.2/101.3,101.9/101.6,60.9/65.7,22.15
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,27.7,17.8,80.2,13.4,14.5/64.5,4.9,83.7,3.8,3.6,75.5/72.2,35.5/5.7,3112.0/41.0,-99,97.6/97.1,84.8/80.2,47.3/42.5,40.45
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,32.5,20.4,61.6,5.6,66.3/77.5,1.6,53.2,0.9,2.7,73.9/64.3,27.9/11.1,3546.8/20.1,2.8,109.1/108.8,113.5/110.6,51.3/41.4,26.6
